sub_region_1,date,ML,Low_90,High_90,Low_50,High_50
Piemonte,2021-10-26,0.67,0.11,1.2,0.46,0.93
Piemonte,2021-10-27,0.85,0.25,1.44,0.62,1.12
Piemonte,2021-10-28,1.19,0.59,1.8,0.98,1.48
Piemonte,2021-10-29,1.18,0.61,1.78,0.96,1.44
Piemonte,2021-10-30,0.92,0.37,1.53,0.72,1.2
Piemonte,2021-10-31,1.02,0.45,1.6300000000000001,0.8200000000000001,1.31
Piemonte,2021-11-01,0.84,0.27,1.43,0.64,1.1300000000000001
Piemonte,2021-11-02,1.1400000000000001,0.56,1.75,0.92,1.41
Piemonte,2021-11-03,1.27,0.72,1.87,1.05,1.52
Piemonte,2021-11-04,1.26,0.72,1.83,1.08,1.54
Piemonte,2021-11-05,1.27,0.74,1.82,1.1,1.55
Piemonte,2021-11-06,1.21,0.7000000000000001,1.76,1.04,1.48
Piemonte,2021-11-07,1.5,1.01,2.0300000000000002,1.33,1.75
Piemonte,2021-11-08,1.47,0.99,1.95,1.31,1.71
Piemonte,2021-11-09,1.54,1.08,1.99,1.3900000000000001,1.77
Piemonte,2021-11-10,1.3800000000000001,0.9500000000000001,1.83,1.21,1.57
Piemonte,2021-11-11,1.51,1.09,1.93,1.37,1.72
Piemonte,2021-11-12,1.17,0.76,1.58,1.03,1.37
Piemonte,2021-11-13,1.28,0.88,1.69,1.16,1.5
Piemonte,2021-11-14,1.28,0.9,1.69,1.16,1.49
Piemonte,2021-11-15,1.28,0.92,1.69,1.16,1.48
Piemonte,2021-11-16,1.11,0.75,1.51,0.97,1.28
Piemonte,2021-11-17,1.1500000000000001,0.78,1.53,1.02,1.33
Piemonte,2021-11-18,0.99,0.62,1.37,0.86,1.17
Piemonte,2021-11-19,1.1500000000000001,0.78,1.52,1.03,1.34
Piemonte,2021-11-20,0.99,0.63,1.37,0.87,1.18
Piemonte,2021-11-21,0.87,0.5,1.25,0.74,1.05
Piemonte,2021-11-22,1.24,0.89,1.6300000000000001,1.1300000000000001,1.44
Piemonte,2021-11-23,1.42,1.08,1.78,1.3,1.59
Piemonte,2021-11-24,1.34,1.01,1.68,1.23,1.51
Piemonte,2021-11-25,1.21,0.9,1.56,1.09,1.36
Piemonte,2021-11-26,1.1,0.78,1.43,0.99,1.26
Piemonte,2021-11-27,1.3900000000000001,1.08,1.71,1.28,1.54
Piemonte,2021-11-28,1.36,1.06,1.6600000000000001,1.26,1.51
Piemonte,2021-11-29,1.23,0.9500000000000001,1.54,1.12,1.36
Piemonte,2021-11-30,1.29,1.0,1.57,1.2,1.44
Piemonte,2021-12-01,1.32,1.05,1.6,1.23,1.46
Piemonte,2021-12-02,1.27,1.02,1.56,1.17,1.3900000000000001
Piemonte,2021-12-03,1.1500000000000001,0.9,1.43,1.06,1.28
Piemonte,2021-12-04,1.11,0.85,1.37,1.03,1.25
Piemonte,2021-12-05,1.06,0.81,1.33,0.99,1.21
Piemonte,2021-12-06,0.9400000000000001,0.68,1.2,0.86,1.08
Piemonte,2021-12-07,1.25,1.0,1.51,1.1500000000000001,1.36
Piemonte,2021-12-08,1.32,1.08,1.57,1.22,1.42
Piemonte,2021-12-09,1.22,0.99,1.47,1.1400000000000001,1.34
Piemonte,2021-12-10,1.27,1.05,1.52,1.18,1.37
Piemonte,2021-12-11,1.27,1.05,1.5,1.2,1.3900000000000001
Piemonte,2021-12-12,1.21,0.99,1.43,1.12,1.3
Piemonte,2021-12-13,1.41,1.2,1.62,1.35,1.53
Piemonte,2021-12-14,1.33,1.1400000000000001,1.55,1.27,1.44
Piemonte,2021-12-15,1.22,1.03,1.43,1.16,1.33
